[20:52:45] [INFO] [logger.py:34] ============================================================
[20:52:45] [INFO] [logger.py:35] 日志系统初始化完成，日志文件: e:\coding-zhou\Python\定时休息\logs\app_20260516_205245.log
[20:52:45] [INFO] [logger.py:36] Python 版本: 3.12.1 (tags/v3.12.1:2305ca5, Dec  7 2023, 22:03:25) [MSC v.1937 64 bit (AMD64)]
[20:52:45] [INFO] [logger.py:37] 系统平台: win32
[20:52:45] [INFO] [logger.py:38] ============================================================
[20:52:45] [INFO] [main.py:9] 应用启动
[20:52:45] [INFO] [app.py:81] 初始化App...
[20:52:45] [INFO] [app.py:108] 读取设置: 工作=20分钟, 休息=5分钟
[20:52:45] [DEBUG] [app.py:118] 连接信号...
[20:52:45] [DEBUG] [app.py:129] 信号连接完成
[20:52:45] [DEBUG] [app.py:69] 初始桌面状态: False
[20:52:45] [INFO] [app.py:72] 会话监控已启动 (OpenInputDesktop 方式)
[20:52:45] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:45] [INFO] [app.py:99] 显示倒计时窗口
[20:52:45] [INFO] [main.py:11] 进入主事件循环
[20:52:45] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:45] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:45] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:45] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:46] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:47] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:48] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:49] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:50] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:51] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
[20:52:52] [DEBUG] [app.py:55] 桌面锁定状态: False
